period,tWAR,WAR,age,G,CG,SHO,SP,W,L,S,H,IP,R,ER,PA,1B,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+
2,18.67,0.91,37,45,0,0,0,1,2,0,1,56,32,32,233,57,12,0,11,14,0,4,55,0,2,5.14,5.29,1.27,98.8,96.1
2,14.19,0.77,41,55,0,0,0,3,2,1,7,48,28,21,205,38,6,0,6,24,0,3,51,0,3,3.94,4.92,1.29,126.9,102.2
2,10.04,0.89,36,69,0,0,0,7,4,0,11,69,38,38,304,86,17,3,6,17,2,6,41,0,3,4.96,4.59,1.49,97,105.2
2,8.87,0.46,33,25,0,0,16,1,8,0,0,87.2,62,56,410,123,30,2,11,28,2,5,54,1,5,5.75,5.2,1.72,86.9,96.8
4,34.65,3.69,28,27,1,0,21,11,8,0,1,137,68,59,583,139,21,2,17,41,2,6,116,0,3,3.88,4.7,1.31,134.7,111.7
4,21.15,0.76,31,28,1,1,24,6,11,0,1,132,89,72,599,166,30,0,16,36,1,18,81,0,1,4.91,5.35,1.53,103.6,93.1
4,16.9,3.18,29,24,1,0,24,12,6,0,0,152.1,87,80,671,168,30,2,16,65,0,8,120,0,5,4.73,5.02,1.53,111.5,103.9
3,12.13,0.24,33,56,0,0,0,1,4,25,1,57.2,36,31,260,65,10,2,8,17,3,7,41,1,2,4.84,5.27,1.42,105.6,94.5
1,31.96,5.69,28,31,3,0,31,10,12,0,0,200.1,96,82,850,191,31,2,19,77,0,2,146,2,6,3.68,4.75,1.34,140.6,109.9
2,25.02,0.34,36,19,0,0,5,1,0,0,2,36.1,23,20,175,41,9,0,4,22,0,2,20,0,0,4.95,6.1,1.73,102.7,82
4,24.21,1.76,35,25,0,0,23,8,7,0,0,125,71,66,551,131,19,1,17,46,1,4,112,0,8,4.75,4.77,1.42,106.1,103.5
2,9.72,0.44,36,35,0,0,0,0,0,0,0,37.1,22,21,166,36,9,0,4,17,0,6,33,0,1,5.06,5.09,1.42,98.3,97.4
3,16.27,1.04,32,60,0,0,0,5,5,4,11,59.1,33,29,258,65,13,0,4,20,5,2,55,0,7,4.4,3.5,1.43,106.7,134.8
3,20.99,0.48,33,33,0,0,8,4,4,0,1,83,56,56,367,103,17,2,17,27,1,3,78,0,4,6.07,5.45,1.57,79.5,89.5
4,13.02,2.31,32,70,0,0,0,0,4,13,17,62.2,25,22,284,58,12,0,7,36,4,2,62,0,3,3.16,4.72,1.5,152.9,102.8
4,16.63,0.92,33,58,0,0,0,4,6,23,0,61.1,35,26,272,73,7,1,6,13,2,3,63,0,1,3.82,3.52,1.4,130.4,141.6
4,18.88,3.24,30,69,0,0,0,7,5,16,11,70,25,25,287,52,12,0,3,28,5,1,90,0,3,3.21,2.63,1.14,150.3,181.6
4,4.03,-0.15,34,39,0,0,6,4,6,5,3,73.1,56,49,340,99,14,0,9,29,4,3,76,0,14,6.01,4.28,1.75,83.8,114.9
4,27.03,4.67,33,28,1,1,28,12,7,0,0,170.1,87,83,728,196,30,4,18,37,0,8,133,0,4,4.39,4.46,1.37,120.6,118.4
4,20.67,2.3,31,55,0,0,0,6,3,1,27,62.1,27,26,263,51,9,0,5,30,2,4,67,0,4,3.75,4.29,1.3,140.9,122.6
2,10.94,0.51,35,38,0,0,0,1,0,0,4,48,35,33,209,45,12,1,7,28,0,0,42,0,5,6.19,5.75,1.52,82.5,90.9
4,9.38,1.21,34,33,0,0,7,2,5,0,2,79.1,55,51,358,95,17,2,13,30,1,3,71,0,8,5.79,5.41,1.58,94.2,99.2
4,15.85,1.18,31,38,0,0,0,3,2,0,1,34.2,13,11,137,27,7,0,4,11,1,0,38,0,1,2.86,4.03,1.1,185.2,130.6
4,23.24,3.55,29,27,0,0,27,10,9,0,0,155,87,79,674,160,27,6,15,67,1,3,107,0,9,4.59,5.07,1.47,118.8,105
4,14.5,0.19,30,27,0,0,11,4,8,0,0,78.2,73,64,390,114,16,5,11,43,0,5,60,0,12,7.32,5.98,2,71.3,88.3
3,38.32,2.8,33,25,1,0,24,8,6,0,0,133.2,87,81,597,171,39,7,14,39,1,5,111,1,4,5.45,4.52,1.57,97,116.8
4,25.92,1.84,30,27,1,0,26,13,10,1,0,154,85,75,658,165,17,3,21,42,0,9,104,1,6,4.38,4.76,1.34,97.7,89.9
4,10.78,1.08,32,55,0,0,0,1,3,1,9,39.2,17,17,168,32,7,0,1,19,0,2,40,0,4,3.86,3.25,1.29,113.3,134.5
2,9.28,0.15,37,30,0,0,0,1,5,1,6,21.2,15,14,96,17,4,0,2,14,0,1,21,0,6,5.82,4.69,1.43,74.6,92.6
4,17.13,1.62,34,54,0,0,1,2,5,0,3,62.2,25,22,256,57,12,1,1,21,1,0,48,0,3,3.16,2.74,1.25,120.8,139.5
3,18.14,2.65,34,62,0,0,0,3,3,19,7,72.1,19,18,302,67,6,0,4,20,4,5,57,0,4,2.24,3.21,1.2,183.1,128.1
3,12.39,1.44,36,72,0,0,0,4,3,0,18,65.2,28,23,268,60,7,0,4,15,1,6,34,0,2,3.15,3.86,1.14,133.1,108.7
4,21.4,1.12,30,51,0,0,1,6,3,2,2,64.1,28,25,284,48,6,0,3,47,3,1,50,0,2,3.5,4.34,1.48,117.4,94.5
4,23.13,2.26,33,53,0,0,0,3,3,16,11,54.2,12,9,227,43,5,1,1,25,6,3,39,0,2,1.48,3.21,1.24,277,127.9
